,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
12306,12306,"Much like the processes of dna replication and transcription, translation consists of three main stages: initiation, elongation, and this?",detonation,isolation,assimilation,termination,"Much like the processes of DNA replication and transcription, translation consists of three main stages: initiation, elongation, and termination. Initiation takes place with the binding of a ribosome to an mRNA transcript. The elongation stage involves the recognition of a tRNA anticodon with the next mRNA codon in the sequence. Once the anticodon and codon sequences are bound (remember, they are complementary base pairs), the tRNA presents its amino acid cargo and the growing polypeptide strand is attached to this next amino acid. This attachment takes place with the assistance of various enzymes and requires energy. The tRNA molecule then releases the mRNA strand, the mRNA strand shifts one codon over in the ribosome, and the next appropriate tRNA arrives with its matching anticodon. This process continues until the final codon on the mRNA is reached which provides a “stop” message that signals termination of translation and triggers the release of the complete, newly synthesized protein. Thus, a gene within the DNA molecule is transcribed into mRNA, which is then translated into a protein product (Figure 3.29).",D,D,t,D,D,D
12319,12319,With what does an electromagnetic wave start?,battery,kinetic energy,static charged particle,vibrating charged particle,An electromagnetic wave starts with a vibrating charged particle.,B,D,B,A,A,A
12332,12332,"During unfavorable conditions, mature seeds may enter a period of inactivity or extremely low metabolic activity called what?",malignancy,hibernation,germination,dormancy,"Seed Germination Many mature seeds enter a period of inactivity, or extremely low metabolic activity: a process known as dormancy, which may last for months, years or even centuries. Dormancy helps keep seeds viable during unfavorable conditions. Upon a return to favorable conditions, seed germination takes place. Favorable conditions could be as diverse as moisture, light, cold, fire, or chemical treatments. After heavy rains, many new seedlings emerge. Forest fires also lead to the emergence of new seedlings. Some seeds require vernalization (cold treatment) before they can germinate. This guarantees that seeds produced by plants in temperate climates will not germinate until the spring. Plants growing in hot climates may have seeds that need a heat treatment in order to germinate, to avoid germination in the hot, dry summers. In many seeds, the presence of a thick seed coat retards the ability to germinate. Scarification, which includes mechanical or chemical processes to soften the seed coat, is often employed before germination. Presoaking in hot water, or passing through an acid environment, such as an animal’s digestive tract, may also be employed. Depending on seed size, the time taken for a seedling to emerge may vary. Species with large seeds have enough food reserves to germinate deep below ground, and still extend their epicotyl all the way to the soil surface. Seeds of smallseeded species usually require light as a germination cue. This ensures the seeds only germinate at or near the soil surface (where the light is greatest). If they were to germinate too far underneath the surface, the developing seedling would not have enough food reserves to reach the sunlight.",C,D,B,C,D,D
12343,12343,"In budding , organisms reproduce by having new individuals split off from what?",a sister chromatid,ova,nuclei,existing ones,"In budding , organisms reproduce by having new individuals split off from existing ones, which results in genetically identical parent and daughter organisms. The bud may stay attached or break free from the parent. Eukaryotic organisms, such as the single cell yeast and multicellular hydra, undergo budding ( Figure below ).",A,D,A,A,D,D
12346,12346,Saturn is made mostly of what two elements?,nitrogen and boron,carbon and oxygen,helium and lithium,hydrogen and helium,Saturn’s composition is similar to Jupiter's. The planet is made mostly of hydrogen and helium. These elements are gases in the outer layers and liquids in the deeper layers. Saturn may also have a small solid core. Saturn's upper atmosphere has clouds in bands of different colors. These clouds rotate rapidly around the planet. But Saturn has fewer storms than Jupiter. Thunder and lightning have been seen in the storms on Saturn.,D,D,C,D,D,D
12349,12349,Both glyceraldehyde and glyceric acid are derivatives of biochemical intermediates in metabolism of what?,proteins,lipids,fats,sugar,Both glyceraldehyde and glyceric acid are derivatives of biochemical intermediates in sugar metabolism. Is the conversion of glycerol to glyceric acid an oxidative process or a reductive process? b. How many of these compounds are chiral? Indicate any chiral centers with an asterisk.,C,D,C,D,D,D
12352,12352,What is an example of a predator-prey relationship that helps maintain the balance of organisms in ecosystems?,lion and grass,zebra and elephant,zebra and air,lion and zebra,"Predation is another mechanism in which species interact with each other. Predation is when a predator organism feeds on another living organism or organisms, known as prey . The predator always lowers the prey’s fitness . It does this by keeping the prey from surviving, reproducing, or both. Predator-prey relationships are essential to maintaining the balance of organisms in an ecosystem. Examples of predator-prey relationships include the lion and zebra, the bear and fish, and the fox and rabbit.",D,D,C,B,D,C
12357,12357,Why do birds build nests?,hatch eggs,get off ground,raise birds,safe place,"Birds and wasps build nests to have a safe place to store their eggs and raise their young. Many other animals build nests for the same reason. Animals protect their young in other ways, as well. For example, a mother dog not only nurses her puppies. She also washes them with her tongue and protects them from strange people or other animals. All of these behaviors help the young survive and grow up to be adults.",D,D,A,D,A,A
12361,12361,What is the transfer of thermal energy between objects that have different temperatures?,sweat,humidity,warm,heat,Heat is the transfer of thermal energy between objects that have different temperatures. Thermal energy always moves from an object with a higher temperature to an object with a lower temperature. Specific heat is the amount of energy (in joules) needed to raise the temperature of 1 gram of a substance by 1°C. Substances differ in their specific heat.,A,D,A,D,A,A
12366,12366,What kind of energy conversion is done by a fuel cell?,electrical into nuclear,wind into nuclear,solar into chemical,chemical into electrical,"Fuel Cells A fuel cell is a device that converts chemical energy into electrical energy. Fuel cells are similar to batteries but require a continuous source of fuel, often hydrogen. They will continue to produce electricity as long as fuel is available. Hydrogen fuel cells have been used to supply power for satellites, space capsules, automobiles, boats, and submarines (Figure 17.15).",D,D,A,D,A,A
12367,12367,In which aspect does molality differ from molarity?,complexity,numerator,accuracy,denominator,"Molality differs from molarity only in the denominator. While molarity is based on the liters of solution, molality is based on the kilograms of solvent. Concentrations expressed in molality are used when studying properties of solutions related to vapor pressure and temperature changes. Molality is used because its value does not change with changes in temperature. The volume of a solution, on the other hand, is slightly dependent upon temperature.",C,D,A,C,D,A
12378,12378,Kinetic energy is the energy of what?,wind,heat,light,motion,Kinetic energy is the energy of motion.,D,D,C,D,D,A
12380,12380,"Temperature is a measure of how hot or cold an object is relative to another object, whereas heat is the flow of what energy between objects with different temperatures?",potential energy,nuclear energy,gravitational energy,thermal energy,"Temperature The concept of temperature may seem familiar to you, but many people confuse temperature with heat. Temperature is a measure of how hot or cold an object is relative to another object (its thermal energy content), whereas heat is the flow of thermal energy between objects with different temperatures. Three different scales are commonly used to measure temperature: Fahrenheit (expressed as °F), Celsius (°C), and Kelvin (K). Thermometers measure temperature by using materials that expand or contract when heated or cooled. Mercury or alcohol thermometers, for example, have a reservoir of liquid that expands when heated and contracts when cooled, so the liquid column lengthens or shortens as the temperature of the liquid changes.",D,D,T,D,D,D
12384,12384,Proteins are organic compounds made up of what type of acids?,lactic,nucleic,enzyme,amino,"Proteins are organic compounds made up of amino acids. They form muscles, speed up chemical reactions, and perform many other cellular functions.",D,D,A,D,A,A
12390,12390,What type of chains do unsaturated fatty acids have?,Broken Chains,Spiral Chains,Stait Chains,bent chains,"Fatty Acids. Saturated fatty acids have straight chains, like the three fatty acids shown in the upper left. Unsaturated fatty acids have bent chains, like all the other fatty acids in the figure.",D,D,C,D,C,D
12391,12391,Ribosomes are the site of what process?,Measure Synthesis,organism synthesis,consume synthesis,protein synthesis,"8.5 Ribosomes Ribosomes are the site of protein synthesis. Ribosomes themselves are synthesized in the cell nucleoli28 and are structured as two subunits, the large and the small. These parts are composed of RNA and protein. Prokaryotic and eukaryotic ribosomes are different, the eukaryotic ones being larger and more complicated.",D,D,A,A,A,A
12396,12396,What kind of energy can move through glass much better than through paper?,heat,vibrational,sound,light,,D,D,C,C,C,D
12397,12397,What forms when one substance dissolves into another?,solvent,mixture,compound,solution,"When one substance dissolves into another, a solution is formed. A solution is a homogeneous mixture consisting of a solute dissolved into a solvent . The solute is the substance that is being dissolved, while the solvent is the dissolving medium. Solutions can be formed with many different types and forms of solutes and solvents.",D,D,A,D,A,A
12404,12404,"In abalones and limpets, what is conical, but somewhat flattened?",the bone,the heart,the head,the shell,,D,D,A,D,A,A
12417,12417,What part of the cell holds cell organelles in place within the cytoplasm?,call wall,exoskeleton,nucleus,cytoskeleton,Crisscrossing the cytoplasm is a structure called the cytoskeleton . It consists of thread-like filaments and tubules. The cytoskeleton is like a cellular “skeleton. ” It helps the cell keep its shape. It also holds cell organelles in place within the cytoplasm.,D,D,C,A,A,A
12430,12430,What makes nobel gases unreactive?,fusion,chemical reaction,magnetism,its electon configuration,"The noble gases are unreactive because of their electron configurations. American chemist Gilbert Lewis (1875-1946) used this observation to explain the types of ions and molecules that are formed by other elements. He called his explanation the octet rule. The octet rule states that elements tend to form compounds in ways that give each atom eight valence electrons. An exception to this rule is the elements in the first period, which are particularly stable when they have two valence electrons. A broader statement that encompasses both the octet rule and this exception is that atoms react in order to achieve the same valence electron configuration as that of the nearest noble gas. Most noble gases have eight valence electrons, but because the first principal energy level can hold a maximum of two electrons, the first noble gas (helium) needs only two valence electrons to fill its outermost energy level. As a result, the nearby elements hydrogen, lithium, and beryllium tend to form stable compounds by achieving a total of two valence electrons.",D,D,C,D,D,D
12438,12438,What type of isotope can be used to treat diseases like cancer?,radiodecaying isotope,negative isotope,positive isotope,radioactive isotopes,"Radioactive isotopes are also used in the treatment of certain diseases, such as cancer. These isotopes are administered to only the diseased tissue, with the goal of destroying the unhealthy cells.",D,A,D,D,D,A
12448,12448,Comets that have periods of 200 years or less are knows as what-period comets?,long,fast,old,short,Newly hatched loggerhead turtles start crossing the sand to the ocean.,D,D,B,C,D,D
12454,12454,Fungi are now classified as their own kingdom. what kingdom were they previously a part of?,animals,protozoa,arthropods,plants,"Today, fungi are no longer classified as plants. We now know that they have important traits that set them apart from plants. That’s why they are placed in their own kingdom. How do fungi differ from plants?.",D,D,A,D,D,D
12456,12456,A comparison of the human arm with a bat's wing demonstrates what principle of biology?,motion follows function,size follows function,attachment follows function,form follows function,"dictates the form of that body part. As an example, compare your arm to a bat’s wing. While the bones of the two correspond, the parts serve different functions in each organism and their forms have adapted to follow that function. 30 Centrioles and flagella are alike in that they are made up of microtubules. In centrioles, two rings of nine microtubule “triplets” are arranged at right angles to one another. This arrangement does not occur in flagella. 32 They differ because plant cell walls are rigid. Plasmodesmata, which a plant cell needs for transportation and communication, are able to allow movement of really large molecules. Gap junctions are necessary in animal cells for transportation and communication.",D,D,C,D,D,D
12460,12460,What are collisions between gas particles and container walls called?,utilize collisions,tubes collisions,kinetic theory,elastic collisions,Collisions between gas particles and between particles and the container walls are elastic collisions.,D,D,A,C,D,A
12468,12468,The force exerted by the atmosphere on the earth’s surface can be measured with what instrument?,anemometer,mass spectrometer,Geiger counter,barometer,"We can measure atmospheric pressure, the force exerted by the atmosphere on the earth’s surface, with a barometer (Figure 9.4). A barometer is a glass tube that is closed at one end, filled with a nonvolatile liquid such as mercury, and then inverted and immersed in a container of that liquid. The atmosphere exerts pressure on the liquid outside the tube, the column of liquid exerts pressure inside the tube, and the pressure at the liquid surface is the same inside and outside the tube. The height of the liquid in the tube is therefore proportional to the pressure exerted by the atmosphere.",A,D,A,D,D,A
12483,12483,What is the volume of air inhaled and exhaled with each breath called?,aspiration volume,lung volume,respiration volume,tidal volume,,D,D,C,C,C,B
12495,12495,At what temperatures do crystals formed by covalent molecular solids melt at?,high,hot,scorching,low,"Physical Properties of Ionic and Covalent Compounds In general, ionic and covalent compounds have different physical properties. Ionic compounds usually form hard crystalline solids that melt at rather high temperatures and are very resistant to evaporation. These properties stem from the characteristic internal structure of an ionic solid, illustrated schematically in part (a) in Figure 2.8 ""Interactions in Ionic and Covalent Solids"", which shows the three-dimensional array of alternating positive and negative ions held together by strong electrostatic attractions. In contrast, as shown in part (b) in Figure 2.8 ""Interactions in Ionic and Covalent Solids"", most covalent compounds consist of discrete molecules held together by comparatively weak intermolecular forces (the forces between molecules), even though the atoms within each molecule are held together by strong intramolecularcovalent bonds (the forces within the molecule). Covalent substances can be gases, liquids, or solids at room temperature and pressure, depending on the strength of the intermolecular interactions. Covalent molecular solids tend to form soft crystals that melt at rather low temperatures and evaporate relatively easily.",C,D,C,C,D,C
12506,12506,"All of the chemical reactions that take place inside cells, including those that consume or generate energy, are referred to as what?",particles ' s metabolism,slowed metabolism,genetic metabolism,cell ' s metabolism,"4.1 | Energy and Metabolism By the end of this section, you will be able to: • Explain what metabolic pathways are • State the first and second laws of thermodynamics • Explain the difference between kinetic and potential energy • Describe endergonic and exergonic reactions • Discuss how enzymes function as molecular catalysts Scientists use the term bioenergetics to describe the concept of energy flow (Figure 4.2) through living systems, such as cells. Cellular processes such as the building and breaking down of complex molecules occur through stepwise chemical reactions. Some of these chemical reactions are spontaneous and release energy, whereas others require energy to proceed. Just as living things must continually consume food to replenish their energy supplies, cells must continually produce more energy to replenish that used by the many energy-requiring chemical reactions that constantly take place. Together, all of the chemical reactions that take place inside cells, including those that consume or generate energy, are referred to as the cell’s metabolism.",A,A,D,A,A,A
12523,12523,Which amino acid do organisms incorporate into their proteins?,glutamate,histone,peptide,arginine,,B,A,D,A,A,D
12524,12524,What fuels are mixtures of hydrocarbons (compounds containing only hydrogen and carbon) that formed over millions of years from the remains of dead organisms?,trilobites,coal,sediment,fossil,"Oil, or petroleum, is one of several fossil fuels . Fossil fuels are mixtures of hydrocarbons (compounds containing only hydrogen and carbon) that formed over millions of years from the remains of dead organisms. In addition to oil, they include coal and natural gas. Fossil fuels provide most of the energy used in the world today. They are burned in power plants to produce electrical energy, and they also fuel cars, heat homes, and supply energy for many other purposes. You can see some ways they are used in the Figure below . For a more detailed introduction to fossil fuels, go to this URL: http://www. ecokids. ca/pub/eco_info/topics/energy/ecostats/index. cfm.",C,D,C,C,D,C
12525,12525,What is the cartilaginous structure that extends from the pharynx to the primary bronchi?,sternohyoid,larynx,cricoid,trachea,"Chapter 39 1 Figure 39.7 B 3 Figure 39.20 The blood pH will drop and hemoglobin affinity for oxygen will decrease. 4 A 6 B 8 D 10 B 12 D 14 C 16 The main bronchus is the conduit in the lung that funnels air to the airways where gas exchange occurs. The main bronchus attaches the lungs to the very end of the trachea where it bifurcates. The trachea is the cartilaginous structure that extends from the pharynx to the primary bronchi. It serves to funnel air to the lungs. The alveoli are the sites of gas exchange; they are located at the terminal regions of the lung and are attached to the respiratory bronchioles. The acinus is the structure in the lung where gas exchange occurs. 18 FEV1/FVC measures the forced expiratory volume in one second in relation to the total forced vital capacity (the total amount of air that is exhaled from the lung from a maximal inhalation). This ratio changes with alterations in lung function that arise from diseases such as fibrosis, asthma, and COPD. 20 Oxygen moves from the lung to the bloodstream to the tissues according to the pressure gradient. This is measured as the partial pressure of oxygen. If the amount of oxygen drops in the inspired air, there would be reduced partial pressure. This would decrease the driving force that moves the oxygen into the blood and into the tissues. P O is also reduced at high elevations: P O at high elevations is lower than 2.",C,D,C,C,A,B
12530,12530,Organic acids such as acetic acid all contain a functional group called what?,ester group,glycoprotein group,protein,carboxyl group,Organic acids such as acetic acid all contain a functional group called a carboxyl group .,D,A,D,D,A,A
12533,12533,What is the most common cause of hearing loss?,quiet sounds,birth defect,infection,loud sounds,Many activities expose people to dangerously loud sounds that can cause hearing loss.,B,D,A,D,A,A
12534,12534,Some products contain iron filings that will react with air to release what type of energy?,spectral,physical,mechanical,thermal,"Hikers, campers, and other outdoor folks take advantage of chemical reactions to keep their hands warm. Small containers of chemicals can undergo reaction to generate heat that can be used to avoid frostbite. Some products contain iron filings that will react with air to release thermal energy. These types of warmer cannot be reused. Other systems rely on heat being released when certain chemicals crystallize. If the warmer is placed in very hot water after use, the system can be regenerated.",C,D,C,D,C,A
12536,12536,By what processes do rivers create floodplains?,deposition and sedimentation,depletion and erosion,thrust and deposition,erosion and deposition,Erosion and deposition by slow-flowing rivers creates broad floodplains and meanders.,D,D,B,D,D,A
12550,12550,"The cortical reaction has begun, initiating events that ensure that only one sperm nucleus enters where?",the sperm,the spore,the heart,the egg,,D,D,A,A,D,D
12563,12563,What increases when a muscle like a biceps is extended?,momentum,weight,speed,force,"In the above example of the biceps muscle, the angle between the forearm and upper arm is 90°. If this angle changes, the force exerted by the biceps muscle also changes. In addition, the length of the biceps muscle changes. The force the biceps muscle can exert depends upon its length; it is smaller when it is shorter than when it is stretched. Very large forces are also created in the joints. In the previous example, the downward force.",A,D,B,A,D,D
12566,12566,Single bonds between atoms are always what?,analogue bonds,genetic bonds,rna bonds,sigma bonds,"In general, single bonds between atoms are always sigma bonds. Double bonds are comprised of one sigma and one pi bond. Triple bonds are comprised of one sigma bond and two pi bonds.",D,A,D,A,D,A
12567,12567,What kind of attraction does electrical force have?,positive,similar,neutral,negative,The electrical force is a vector quantity that is positive in repulsion and negative in attraction.,C,D,A,D,D,D
12568,12568,At what temperatures do alkanes with more carbon atoms boil?,farther temperatures,heavier temperatures,lower temperatures,higher temperatures,"Saturated hydrocarbons are given the general name of alkanes . The name of specific alkanes always ends in – ane . The first part of the name indicates how many carbon atoms each molecule of the alkane has. The smallest alkane is methane. It has just one carbon atom. The next largest is ethane with two carbon atoms. The chemical formulas and properties of methane, ethane, and other small alkanes are listed in the Table below . The boiling and melting points of alkanes are determined mainly by the number of carbon atoms they have. Alkanes with more carbon atoms generally boil and melt at higher temperatures.",C,A,D,C,D,D
12569,12569,"If the tunica externa did not hold a vessel in place, any movement would likely result in disruption of what?",heart beat,respiration,pulse,blood flow,"Tunica Externa The outer tunic, the tunica externa (also called the tunica adventitia), is a substantial sheath of connective tissue composed primarily of collagenous fibers. Some bands of elastic fibers are found here as well. The tunica externa in veins also contains groups of smooth muscle fibers. This is normally the thickest tunic in veins and may be thicker than the tunica media in some larger arteries. The outer layers of the tunica externa are not distinct but rather blend with the surrounding connective tissue outside the vessel, helping to hold the vessel in relative position. If you are able to palpate some of the superficial veins on your upper limbs and try to move them, you will find that the tunica externa prevents this. If the tunica externa did not hold the vessel in place, any movement would likely result in disruption of blood flow.",D,D,C,A,A,D
12572,12572,What two elements make up about 99 percent of the air?,phosphorus and oxygen,nitrogen and phosphorus,helium and boron,nitrogen and oxygen,Nitrogen and oxygen make up about 99 percent of the air. Argon and carbon dioxide make up much of the rest. The air also contains water vapor. The amount of water vapor varies from place to place.,A,D,A,A,A,D
12589,12589,What device measures atmospheric pressure and can be used as an altimeter?,indicator,thermometer,speedometer,barometer,"A barometer is a device that measures atmospheric pressure. A mercury barometer is shown in Figure 11.18. This device measures atmospheric pressure, rather than gauge pressure, because there is a nearly pure vacuum above the mercury in the tube. The height of the mercury is such that hρg = P atm . When atmospheric pressure varies, the mercury rises or falls, giving important clues to weather forecasters. The barometer can also be used as an altimeter, since average atmospheric pressure varies with altitude. Mercury barometers and manometers are so common that units of mm Hg are often quoted for atmospheric pressure and blood pressures. Table 11.2 gives conversion factors for some of the more commonly used units of pressure.",D,D,C,D,D,A
12618,12618,"When a person stands on the floor, his feet exert what on the surface?",resistance,acceleration,power,pressure,"When a person stands on the floor, his feet exert pressure on the surface. That pressure is related to both the mass of the person and the surface area of his feet. If the person were holding a heavy object, the pressure would increase because of a greater force. Alternatively, if the person stands on his toes, the pressure also increases because of a decrease in the surface area.",C,D,A,D,A,A
12626,12626,"Despite the season, what aspect of constellations never change?",location,colors,size,patterns,"The constellations stay the same night after night. The patterns of the stars never change. However, each night the constellations move across the sky. They move because Earth is spinning on its axis. The constellations also move with the seasons. This is because Earth revolves around the Sun. The constellations in the winter are different from those in the summer. For example, Orion is high up in the winter sky. In the summer, it's only up in the early morning.",C,D,C,C,C,D
12632,12632,Hormones that share what usually perform the same function?,radiation class,temperature,glandular process,chemical class,,B,D,B,B,B,B
12633,12633,A glacier is an example of h20 in which state of matter?,gas,stable,liquid,solid,"The state of matter is a physical property of that matter. H 2 O can exist in three different states of matter. This glacier is obviously a solid state of H 2 O, floating in the liquid state. Why does the ice float on water? Which has a greater density, solid H 2 O or liquid H 2 O?.",D,D,C,C,D,B
12635,12635,What do we call the microflora that aid in the digestion process?,tissue flora,stomach flora,digestive flora,intestinal flora,"Elimination The final step in digestion is the elimination of undigested food content and waste products. The undigested food material enters the colon, where most of the water is reabsorbed. Recall that the colon is also home to the microflora called “intestinal flora” that aid in the digestion process. The semi-solid waste is moved through the colon by peristaltic movements of the muscle and is stored in the rectum. As the rectum expands in response to storage of fecal matter, it triggers the neural signals required to set up the urge to eliminate. The solid waste is eliminated through the anus using peristaltic movements of the rectum.",D,D,B,B,D,D
12637,12637,What requirement of the second circuit does the current that flows in the primary circuit depend on?,velocity of current,composition of current,accumulation of current,amount of current,The current that flows in the primary depends on how much current is required by the secondary circuit.,D,D,C,D,D,A
12647,12647,Mollusks can be divided into how many classes?,three,four,nine,seven,"stages: trochophore and veliger. Sexual dimorphism is the predominant sexual strategy in this phylum. Mollusks can be divided into seven classes, each with distinct morphological characteristics.",C,D,C,B,B,D
12662,12662,Receptors for which hormones reside in the cytoplasm or nucleus?,non lipid-soluble hormones,cores - soluble hormones,organism - soluble hormones,lipid-soluble hormones,,A,A,D,D,A,D
12665,12665,How often do partial lunar eclipses occur?,once a year,6 times a year,2 times a year,twice a year,"Partial lunar eclipses occur at least twice a year, but total lunar eclipses are less common. The Moon glows with a dull red coloring during a total lunar eclipse.",C,D,A,C,D,A
12676,12676,Almost all earthquakes occur at which place?,land boundaries,continental shelf,mountains,plate boundaries,"Almost all earthquakes occur at plate boundaries. All types of plate boundaries have earthquakes. Convection within the Earth causes the plates to move. As the plates move, stresses build. When the stresses build too much, the rocks break. The break releases the energy that was stored in the rocks. The sudden release of energy creates an earthquake. During an earthquake the rocks usually move several centimeters or rarely as much as a few meters. Elastic rebound theory describes how earthquakes occur ( Figure below ).",D,A,D,A,A,A
147,147,What type of reproduction usually occur during times of environmental stress?,asexual reproduction,internal reproduction,hysterical reproduction,sexual reproduction,,A,A,D,D,D,D
157,157,What supports and protects the soft organs of the body?,Muscle,Skin,skull,skeleton,"Protection. The skeleton supports and protects the soft organs of the body. For example, the skull surrounds the brain to protect it from injury. The bones of the rib cage help protect the heart and lungs.",C,D,B,A,A,A
183,183,Comparing what sequences provides clues to evolution and development?,organisms,DNA,genes,genome,21.6 Comparing genome sequences provides clues to evolution and development.,C,D,C,C,A,A
208,208,"In most animals, what sense is related to balance or equilibrium?",feeling,vision,tasting,hearing,,D,A,D,D,D,D
241,241,"To measure what changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity, calledenthalpy?",entropy,ion exchange,evaporation,energy,"(a) Initially, the system (a copper penny and concentrated nitric acid) is at atmospheric pressure. (b) When the penny is added to the nitric acid, the volume of NO2 gas that is formed causes the piston to move upward to maintain the system at atmospheric pressure. In doing so, the system is performing work on its surroundings. The symbol E in represents the internal energy of a system, which is the sum of the kinetic energy and potential energy of all its components. It is the change in internal energy that produces heat plus work. To measure the energy changes that occur in chemical reactions, chemists usually use a related thermodynamic quantity calledenthalpy (H) (from the Greek enthalpein, meaning “to warm”). The enthalpy of a system is defined as the sum of its internal energy E plus the product of its pressure Pand volume V:.",D,D,A,A,A,A
315,315,Populations of viruses do not grow through cell division because they?,non living,Static,Acidic,are not cells,"Populations of viruses do not grow through cell division because they are not cells. Instead, they use the machinery and metabolism of a host cell to produce new copies of themselves. After infecting a host cell, a virion uses the cell’s ribosomes, enzymes, ATP, and other components to replicate. Viruses vary in how they do this. For example:.",A,A,D,A,A,A
365,365,"If force is applied further away from a pivot point, than what kind of acceleration will be greater?",parameters,circular,rectangular,angular,"10.3 Dynamics of Rotational Motion: Rotational Inertia If you have ever spun a bike wheel or pushed a merry-go-round, you know that force is needed to change angular velocity as seen in Figure 10.10. In fact, your intuition is reliable in predicting many of the factors that are involved. For example, we know that a door opens slowly if we push too close to its hinges. Furthermore, we know that the more massive the door, the more slowly it opens. The first example implies that the farther the force is applied from the pivot, the greater the angular acceleration; another implication is that angular acceleration is inversely proportional to mass. These relationships should seem very similar to the familiar relationships among force, mass, and acceleration embodied in Newton’s second law of motion. There are, in fact, precise rotational analogs to both force and mass.",D,D,A,A,A,A
447,447,"When food is scarce, starving cells secrete a molecule that stimulates neighboring cells to do what?",die off,compete,hoard energy,aggregate,,A,D,A,D,D,D
560,560,"In fruit flies, all homeotic genes are found on one what?",site,genome,enzymes,chromosome,,D,D,C,C,C,C
586,586,How do most growing plant cells expand?,through photosynthesis,through germination,through cell respiration,through water uptake,,A,A,D,A,A,A
630,630,What kind of summers do humid continental climates have?,wet summers,dry summers,warm summers,cold summers,Humid continental climates have warm winters and cold summers. Subarctic climates have cool short summers and very cold winters.,A,D,B,D,A,A
640,640,"Sympathetic stimulation also triggers the release of epinephrine and norepinephrine, which enhance both cardiac output and what else?",digestion,vasodilation,inhibition,vasoconstriction,"pressure and maintaining blood flow. Ultimately, however, blood volume will need to be restored, either through physiological processes or through medical intervention. In response to blood loss, stimuli from the baroreceptors trigger the cardiovascular centers to stimulate sympathetic responses to increase cardiac output and vasoconstriction. This typically prompts the heart rate to increase to about 180–200 contractions per minute, restoring cardiac output to normal levels. Vasoconstriction of the arterioles increases vascular resistance, whereas constriction of the veins increases venous return to the heart. Both of these steps will help increase blood pressure. Sympathetic stimulation also triggers the release of epinephrine and norepinephrine, which enhance both cardiac output and vasoconstriction. If blood loss were less than 20 percent of total blood volume, these responses together would usually return blood pressure to normal and redirect the remaining blood to the tissues. Additional endocrine involvement is necessary, however, to restore the lost blood volume. The angiotensin-reninaldosterone mechanism stimulates the thirst center in the hypothalamus, which increases fluid consumption to help restore the lost blood. More importantly, it increases renal reabsorption of sodium and water, reducing water loss in urine output. The kidneys also increase the production of EPO, stimulating the formation of erythrocytes that not only deliver oxygen to the tissues but also increase overall blood volume. Figure 20.21 summarizes the responses to loss of blood volume.",C,D,C,A,A,A
698,698,Thermodynamics do not give us any insight into what attribute of spontaneous processes?,increase,acceleration,decrease,rate,"It should be noted that just because a process is spontaneous does not mean that it occurs quickly. The rusting of iron is a spontaneous process that takes place over a long period of time. The combustion of gasoline in oxygen (also a spontaneous process) is extremely fast when provided with a spark, but gasoline can be stored in air for quite a while without spontaneously combusting. Thermodynamics predicts the direction in which a reaction will eventually proceed, but it does not tell us anything about the rate at which the reaction occurs. The rate of a reaction depends on many factors, including activation energy, temperature, concentration, and the presence or absence of a catalyst. Chemical kinetics focuses on the pathway between reactants and products, while thermodynamics considers only the difference between the initial and final states.",A,D,C,A,A,A
706,706,The band disappears before metaphase but predicts the future plane of what?,cell solution,cell matter,cell wall,cell division,,A,A,D,A,A,A
805,805,What creates charged regions in a water molecule?,noncovalent bonds,nonpolar bonds,ionic bonds,polar covalent bonds,,B,A,D,A,A,A
844,844,Fog disappears when the water droplets change back to what?,solid vapor,cold vapor,ice vapor,water vapor,"The water droplets of fog form from water vapor in the air. Fog disappears when the water droplets change back to water vapor. These changes are examples of changes of state. A change of state occurs whenever matter changes from one state to another. Common states of matter on Earth are solid, liquid, and gas. Matter may change back and forth between any two of these states.",A,D,A,A,A,A
892,892,What part of the heart receives the blood is pumped from veins of the systemic circuit?,right ventricle,left atrium,left ventricle,right atrium,"Figure 40.10 The mammalian circulatory system is divided into three circuits: the systemic circuit, the pulmonary circuit, and the coronary circuit. Blood is pumped from veins of the systemic circuit into the right atrium of the heart, then into the right ventricle. Blood then enters the pulmonary circuit, and is oxygenated by the lungs. From the pulmonary circuit, blood re-enters the heart through the left atrium. From the left ventricle, blood re-enters the systemic circuit through the aorta and is distributed to the rest of the body. The coronary circuit, which provides blood to the heart, is not shown.",A,D,A,B,A,A
970,970,The symbol for each what is usually the first letter or two of its name?,material,state,property,element,,A,A,B,A,A,A
