,question,distractor3,distractor1,distractor2,correct_answer,support,small
3185,An electrical signal along a nerve cell triggers the secretion of what?,attenuation molecules,conduction molecules,axons,neurotransmitter molecules,,D
3187,Urea and carbon dioxide are molecules with how many carbon atoms?,two,even number,four,one,,B
3188,Half of the neurons formed in the embryo are eliminated because of _____________,contraction,cell death,disease,competition,,C
3193,"Unlike theories, which are proved true, what are often falsified?",controls,conclusions,samples,hypotheses,,D
3199,Acids are molecular compounds that dissolve in water to produce hydronium ions and what else?,an alkali,a neutron,a proton,an anion,Acids are molecular compounds that dissolve in water to produce hydronium ions and an anion.,D
3200,What is the terme for water vapor changing to liquid water?,freezing,evaporation,transubstantiation,condensation,,D
3203,What color is the fungus in blue cheese?,pink,green,purple,blue,Blue cheese is blue because of the fungus growing throughout it.,D
3208,What are the two main parts of the human nervous system?,"brain, heart","lungs, brain","lungs, spinal cord","brain, spinal cord",,D
3211,What is the process by which organisms break down chemicals to make food energy?,electrolysis,excretion,gametogenesis,chemosynthesis,"In chemosynthesis, organisms break down chemicals to make food energy.",D
3215,Plant cells divide into two equal halves during what process?,cytokinesis,death,prokaryotes,mitosis,,A
3219,What do you call the formation of a water vapor pocket?,coagulation,conduction,precipitation,cavitation,,B
3220,Internal body fluids link exchange surfaces to what else?,tissue,ligaments,organs,body cells,,B
3230,Sexual signaling molecules released by fungi are known as what?,vibrations,sperm,hormones,pheromones,,D
3231,Which energy is momentarily stored in tendons after each leap provides a boost for the next leap?,magnetic,alternating,thermal,kinetic,,D
3237,"Soil erosion is a natural process, but what can increase it unnaturally?",volcanic eruption,human preservation,animal activies,human activities,"Soil erosion is a natural process, but human activities can increase it.",D
3239,What do you call different organs working together?,maturation systems,cellular system,endocrine system,organ systems,,D
3242,What type of plant makes up nearly all plant species?,fungus,gymnosperms,microbes,angiosperms,,D
3244,The hemolymph and body cells exchange chemicals within what body part?,the gums,the lungs,the heart,the sinuses,,B
3246,Animals can transport what waste material in the circulatory system and store it safely at high concentrations?,phosphorus,proteins,carbon,urea,,D
3248,The high points of a transverse wave are called what?,points,ridges,valleys,crests,"The high points of a transverse wave are called crests, and the low points are called troughs.",D
3259,Lipids are also know by what name?,acids,sugars,proteins,fats,,D
3261,What type of cells in the body fluids and tissues of most animals specifically interact with and destroy pathogens?,White blood cells,Microglial cells,Dendritic cells,immune cells,,A
3274,Carbohydrates are an important group of biological molecules that includes sugars and these?,proteins,fats,vitamins,starches,Carbohydrates are an important group of biological molecules that includes sugars and starches.,D
3282,What can carry nerve impulses from tissues and organs to the spinal cord and brain?,respiratory neurons,healthy neurons,motor neurons,sensory neurons,Sensory neurons carry nerve impulses from tissues and organs to the spinal cord and brain.,D
3283,Chemical equations need to be balanced to satisfy the law of what?,speed of matter,material of matter,glow of matter,conservation of matter,Chemical equations need to be balanced to satisfy the law of conservation of matter.,D
3288,What are living echinoderms divided into five of?,sexes,classifications,species,clades,,A
3298,"Scientific notation expresses a number as a what, times a power of 10?",expression,fraction,function,coefficient,Scientific notation expresses a number as a coefficient times a power of 10.,D
3303,What hormone affects developent and maturation in animals?,melatonin,insulin,dopamine,thyroid,,D
3306,Gene duplications that are able to persist over many generations without causing too much harm to an organism or species can lead to what?,permutations,characteristics,parasites,mutations,,C
3310,Excretory organs that conserve what essential substance help terrestrial animals to avoid desiccation?,food,metabolytes,air,water,,D
3311,Venus rotates slowly in a direction opposite to the direction of what?,the sun,the Earth's orbit,the orbit of Mars,its orbit,Venus rotates slowly in a direction opposite to the direction of its orbit.,D
3312,What is the ph of pure water?,2,5,4,7,"milk of magnesia, pH = 10.5 2. pure water, pH = 7 3. wine, pH = 3.0.",B
3316,What is name of the phenomenon where similar traits evolve independently in species that do not share a common ancestry?,divergent evolution,equation evolution,coalescence evolution,convergent evolution,Figure 22.31 The force on a current-carrying wire in a magnetic field is.,D
3319,"Arteries, veins, and capillaries are the three main types of what?",blood pathways,blood shapes,cell structures,blood vessels,,A
3320,Amphibians may attract mates with what?,neither,only calls,only scents,calls or scents,Amphibians may attract mates with calls or scents.,D
3321,What type of bounded nucleus do protists have?,Ribosomes,Mitochondrion,Endoplasmic reticulum,membrane,,D
3322,Which body part is unsuitable for animals living on land?,hands,lungs,feet,gills,,D
3325,Changing the shape of an elastic material gives it what type of energy?,initial,thermal,practical,potential,Changing the shape of an elastic material gives it potential energy.,D
3342,The speed of a particle in what state is directly proportional to the temperature of the system?,liquid,frozen,solid,gas,The speed of a gas particle is directly proportional to the temperature of the system.,D
3351,"What branch of science is based on the modern atomic theory, which states that all matter is composed of atoms?",biology,physics,psychology,chemistry,"Chemistry is based on the modern atomic theory, which states that all matter is composed of atoms.",D
3353,What membrane is populated by two types of photosystems that cooperate in the light reactions of photosynthesis?,subcutaneous,choroid,chloroplasts,thylakoid,,B
3354,At what point can nutrients enter or exit an ecosystem?,Hottest Point,Largest Population Point,Longest Point,any point,Nutrients can enter or exit an ecosystem at any point and can cycle around the planet.,D
3356,There are three different types of rna. all three types are needed to make what?,Blood,acids,lipids,proteins,There are three different types of RNA. All three types are needed to make proteins.,D
3357,Niche and habitat are concepts related to what broader term?,community,population,biome,ecosystem,7. Compare and contrast the ecosystem concepts of niche and habitat.,D
3358,What do opposite charges do to one another?,repel,strengthen,weaken,attract,"Opposite charges attract, and like charges repel.",D
3373,Which stage is specialized for dispersal & reproduction?,cocoon stage,fetal stage,larval stage,adult stage,,B
3375,What topographic feature does a circle with inward hatches represent on a contour map?,a mountain,a lake,vegetation,a depression,"On a contour map, a circle with inward hatches indicates a depression.",D
3379,What is given off from plants and taken in by animals?,nitrogen,methane,sulfur,oxygen,,D
3382,What is the first stage of cellular respiration?,decarboxylation,gluconeogenesis,Krebs cycle,glycolysis,The first stage of cellular respiration is glycolysis. It does not require oxygen.,D
3387,What pigment is required for photosynthesis to occur?,xanthophyll,carotene,chroma,chlorophyll,,D
3404,All chemical changes involve a transfer of what?,oxygen,pressure,fuel,energy,Describe ways protists are important to humans.,D
3406,What is the bending of waves around a corner called?,absorption,reflection,propulsion,diffraction,Diffraction is the bending of waves around a corner.,D
3409,The zygote undergoes many cell divisions before it implants in the lining of what?,pelvis,vagina,ovaries,uterus,The zygote undergoes many cell divisions before it implants in the lining of the uterus.,D
3421,How many different main types of diabetes are there?,ten,four,three,two,,B
3424,What type of compounds tend to have high melting points and boiling points?,soluble,liquid,particle,ionic,Ionic compounds tend to have high melting points and boiling points.,D
3428,An atom that gains or loses electrons is called what?,isotope,photon,quark,ion,An atom that gains or loses electrons is an ion.,D
3429,What do you require to test a hypothesis?,conclusion,estimates,opinion,data,Testing a hypothesis requires data. Data can be gathered by observations or by experiments.,D
3430,The first law of thermodynamics deals with the total amount of energy in what?,galaxy,organism,springs,universe,Only radioactive isotopes have half-lives.,D
3435,What is cellular respiration that proceeds in the presence of oxygen known as?,anaerobic respiration,kinetic respiration,digestive respiration,aerobic respiration,Cellular respiration that proceeds in the presence of oxygen is aerobic respiration.,D
3438,"What kingdom in the domain eukarya that includes molds, mushrooms, and yeasts called?",proteins,bacteria,acids,fungi,"Fungi are a kingdom in the domain Eukarya that includes molds, mushrooms, and yeasts.",D
3440,"Which part of the earth is made of the rigid, brittle, solid crust and uppermost mantle?",atmosphere,troposphere,thermosphere,lithosphere,"The lithosphere is made of the rigid, brittle, solid crust and uppermost mantle.",D
3441,What is liquid water falling from the sky called?,evaporation,snow,clouds,rain,,D
3442,The two general functions of roots in plants are to anchor and to do what else?,grow,generate,photosynthesis,absorb,,D
3444,What is the most important process for the survival of a species?,metabolism,digestion,differentiation,reproduction,,A
3448,What is the term for the relationship in which one species benefits while the other species is harmed?,parasitic relationship,combative relationship,commensal relationship,symbiotic relationship,symbiotic relationship in which one species benefits while the other species is harmed.,A
3460,"Parasitism, mutualism, and commensalism are all examples of what type of biological relationship?",evolution,adaptation,reproduction,symbiosis,,D
3462,What is the term for  how the air feels at its temperature and humidity,initial humidity,climate sensory index,atmospheric humidity,relative humidity,Relative humidity is how the air feels at its temperature and humidity.,D
3468,Which types of waves are used for cell phones and radar?,sound waves,light waves,thermal waves,microwaves,Microwaves are used for cell phones and radar.,D
3470,Methyl groups are found within what?,peptide chains,rna acids,DNA molecules,amino acids,Methyl groups are found within amino acids.,D
3472,Surface tension and viscosity are generally associated with what form or state of matter?,electrons,solids,gases,liquids,Two interesting properties of liquids are surface tension and viscosity.,D
3473,What catalyst substances may also allow reactions to occur by different pathways that have lower activation energy?,calories,carbohydrates,hormones,enzymes,Enzymes may also allow reactions to occur by different pathways that have lower activation energy.,D
3479,Which state of matter is characterized by molecules with minimal movement and strong forces between them?,gas,plasma,liquid,solid,"Three main types of particles that make up all atoms are protons, neutrons, and electrons.",D
3481,What collects fluid from a system of canals in the cytoplasm?,chlorophyll,placenta,mitochondria,vacuole,,D
3486,What is the general composition of the continental crust?,sandstone,limestone,marble,granite,The average composition of continental crust is granite.,D
3489,By how many weeks do all major organs start developing?,9,4,12,8,,A
3495,Mammals have four limbs and produce what kind of eggs?,hard-shelled,placental,umbilical,amniotic,Mammals have four limbs and produce amniotic eggs.,D
3522,What illnesses are caused by damage to the alveoli of the lungs?,smoking and emphysema,avian and emphysema,chronic and emphysema,pneumonia and emphysema,Pneumonia and emphysema are caused by damage to the alveoli of the lungs.,D
3532,Pseudohypertrophic muscular dystrophy is an inherited disorder that causes gradual deterioration of what?,fluids,nerves,brain,muscles,,D
3538,What moves nitrogen back and forth between the atmosphere and organisms?,the leakage cycle,the calcium cycle,the Krebs cycle,the nitrogen cycle,The nitrogen cycle moves nitrogen back and forth between the atmosphere and organisms.,D
3541,What chemical substances are secreted by animals that communicate by odor or taste?,acids,alaki,hormones,pheromones,,D
3542,Hydropower is generated with what natural resource?,fire,light,air,water,Hydropower utilizes the energy of falling water.,D
3557,What type of craniates have backbones?,larva,juveniles,invertebrates,vertebrates,34.3 Vertebrates are craniates that have a backbone.,D
3558,What are the most numerous blood cells?,platelets,neutrophils,white blood cells,red blood cells,,D
3559,How do autotrophs get food?,From Plant matter,From Water,Soak up from host cell,make their own,Autotrophs make their own food. Heterotrophs get food by eating other living things.,D
3565,What is the change in behavior based on experience?,applying,observing,analyzing,learning,,D
3567,"Within a bud, what is spaced close together because the internodes are very short?",stems,chordae,roots,leaves,,A
3570,Cells selective for different odorants are interspersed in what anatomical cavity?,mucus,facial,abdominal,nasal,,D
3575,"Phylum chordata consists of two subphyla of invertebrates, as well as the hagfishes and what else?",cells,lipids,organs,vertebrates,,D
3579,The epidermis consists mainly of what type of cells?,crystalline,cytoplasm,blood cells,epithelial,Cell Layers of the Epidermis. The epidermis consists mainly of epithelial cells.,D
3581,Glucose and fructose are considered this type of sugar?,polysaccharides,alcohols,complex carbohydrates,"monosaccharides, or simple","Glucose and fructose are monosaccharides, or simple sugars.",D
3584,What is the name of the tube that carries sperm from the epididymis to the urethra?,fallopian tube,prostate gland,ureter,vas deferens,The vas deferens is a tube that carries sperm from the epididymis to the urethra.,D
3591,What does the central cell develop into after double fertilization?,exosperm,endocell,xygote,endosperm,,D
3595,Hormones vary widely in molecular size and type as well as?,foreign regulators,simple regulators,strange regulators,local regulators,,A
3597,Scientists often classify or organize different objects based on their what?,independent variables,experimental properties,behavioral traits,physical properties,,D
3605,What is water falling from the sky called?,acid,snow,temperature,precipitation,,C
3606,"Coal, oil and natural gas are types of what formed from the remains of once living organisms?",crop fuels,living fossils,fossil compounds,fossil fuels,"Coal, oil and natural gas are all fossil fuels formed from the remains of once living organisms.",D
3621,"When pumping blood, the hearts of animals with very long necks must overcome what force?",friction,erosion,evolution,gravity,,D
3625,What is used to measure current through a resistor?,microscopes,thermometers,spectrographs,ammeters,Ammeters measure the current through a resistor.,D
3629,What organism captures light energy and converts it to chemical energy inside its cell?,insects,autotrophs,plants,phototrophs,"Because glaciers move, they have characteristic features like crevasses and bergshrunds.",C
3636,Continental drift also promotes what speciation?,macroevolution,obligate,mutualistic,allopatric,,A
3638,When skunks are in danger what do they give off?,sweet odor,warning howls,ejected quills,foul smell,,A
3643,Eukaryotic cell division involves mitosis and what?,spermatogenesis,meiosis,electrolysis,cytokinesis,Eukaryotic cell division involves mitosis and cytokinesis.,D
3645,"What layer of soil, essential for farming, has the highest proportion of organic material?",subsoil,bedrock,humus,topsoil,Topsoil has the highest proportion of organic material. Topsoil is essential for farming.,D
3667,Are thunderstorms more likely where the ground temperatures are extremely high or extremely low?,extremely low,somewhat low,somewhat high,extremely high,Thunderstorms grow where ground temperatures are extremely high.,D
3680,What continuously monitors and repairs its genetic material?,proteins,ova,nucleolus,cells,,D
3692,"In response to changing environmental conditions, prokaryotic populations can undergo what process in short periods of time?",fusion,extinction,reproduction,evolution,,B
3694,What is a shortage of water that causes the soil to dry from the surface down called?,flood,overflowage,tidal wave,drought,,D
3697,Banging on a drum is an example of which type of energy?,potential,solar.,molecular,mechanical,,D
3718,What lizards can change colors based on the color of their surroundings?,Monitor,skink,geckos,chameleons,,D
3726,How often does sperm develop in humans?,rarely,monthly,sporadically,continuously,,D
3732,What atmosphere do gills help exchange gas in?,air,stratosphere,ecosystem,water,,D
3738,"The arid environment of a desert, for instance, can quickly deplete an animal of what?",air,strength,protein,water,,D
3751,Water molds mostly live in water or moist?,plants,cells,biomes,soil,"Define physical change, and give examples of physical change.",A
3764,In which kind of species do open circulatory systems serve additional functions?,some earthworms,some apes,some seedlings,some invertebrates,,A
3766,What do we call heated groundwater that erupts from the ground under pressure?,volcanic eruptions,aquifers,spas,springs or geysers,,D
3774,What does the moving piston in an engine turn?,brake,hammer,muffler,crankshaft,,D
3778,What two things collide to cause gas pressure?,gas particles and a wave,gas particles and an electron,light particles and an object,gas particles and an object,Gas pressure is the result of collisions between gas particles and an object.,D
3781,What characteristic of reptile eggs allows them to be laid on land instead of in water?,they are circular,they are dry,they trap gas,they are amniotic,"Reptile eggs are amniotic, so they can be laid on land instead of in water.",D
3782,What part of the rainforest commonly has ferns and other ground plants?,emergent layer,forest floor,canopy layer,understory,Ferns are common in the understory of the tropical rainforest.,D
3804,Synaptic connections can change over time depending on what?,age,weight,diet,activity level,,A
3805,What is the body of a roundworm covered with?,slime,thick scales,thin epidermis,tough cuticle,Roundworms have a pseudocoelom and hydrostatic skeleton. Their body is covered with tough cuticle.,D
3810,Brown algae are important commodities for what?,parasites,reptiles,fish,humans,,B
3825,What are the primary causes of bone fractures?,step impact or bending,overuse,spiral impact or bending,sideways impact or bending,Each ionic compound has its own unique name that comes from the names of the ions.,C
3832,What is a decrease in the magnitude of the membrane potential?,inflammation,digestion,ionization,depolarization,,D
3841,What orbits an atoms' nucleus?,isotopes,neutrally charged ions,positively charged protons,negatively charged electrons,An atom has negatively-charged electrons in orbit around its nucleus.,D
3842,What are the three forms of water as found in nature?,"solid , mixture , gas","balanced , liquid , gas","ice, vapor, sleet","solid, liquid, gas",,D
3843,What type of digestion is chewing an example of?,fluid,electromagnetic,gravity,mechanical,,D
3844,How many major massive extinctions have been since life began on earth?,one,three,four,five,"Since life began on Earth, there have been at least five major massive extinctions.",D
3854,"What organism is an important pioneer on cleared rock and soil surfaces, such as volcanic flows and burned forests?",pigment,cysts,algae,lichen,,D
3862,Our global ecological footprint depends on resource use per person and what population factor?,population decrease,population fluctuation,population sample,population density,,A
3868,What manages the material and energy resources of the cell?,nucleus,cell wall,respiration,metabolism,,A
3870,Dry soils are relatively unproductive because plants need a sufficient quantity of liquid water to carry out what process?,flowering,contraction,shrinkage,photosynthesis,,D
3872,What type of plants supplement their mineral nutrition by digesting animals?,herbivorous,perennials,annuals,carnivorous,,D
3874,Phytochromes regulate many plant responses to what?,oxygen,heat,gravity,light,,D
3875,Carbon dioxide molecules consist of a central carbon atom bonded to how many oxygen atoms?,three,one,four,two,Carbon dioxide molecules consist of a central carbon atom bonded to 2 oxygen atoms.,D
3878,What is above each leaf scar?,stipule scar,chambered pitch,lenticel,an axillary bud,,A
3881,"Stars spend most of their lives on the main sequence, fusing hydrogen into what?",nitrogen,neon,carbon,helium,"Stars spend most of their lives on the main sequence, fusing hydrogen into helium.",D
3882,What is a measure of how hot or cold the air is?,relativity,precipitation,variation,temperature,,D
3887,What flows across the membrane resulting in changes in the membrane potential?,neutrons,electrons,acids,ions,,D
3891,What element is the sun mostly made up of?,helium,manganese,mercury,hydrogen,The Sun is mostly hydrogen with smaller amounts of helium. The material is in the form of plasma.,D
3894,Skeletal and muscular are examples of what type of system?,shell system,internal system,interior system,organ system,Organs are organized into organ systems such as the skeletal and muscular systems.,D
3896,What are butterflies and bees an example of?,parasites,spores,species,pollinators,,D
3899,"Where a cell resides, how it appears, and what it does define its what?",life cycle,minute race,slowing rate,development fate,,A
3901,What are mars' moons thought to be?,common asteriods,guerrillas asteroids,new asteriods,captured asteroids,Mars has two moons that are thought to be captured asteroids.,D
3909,What type of locomotion do humans have?,quadrupedal,crawling,elongated,bipedal,34.8 Humans are mammals that have a large brain and bipedal locomotion.,D
3913,Many plants generate root pressure during which phase?,end of life cycle,flowering season,developing season,growing season,,D
3916,What is the final product of the calvin cycle?,insulin,chloride,sucrose,glucose,The final product of the Calvin cycle is glucose.,D
3921,The process in which animals use visual cues to communicate is known as what?,distinctive communication,visual indication,peripheral communication,visual communication,Visual Communication in Animals. Many animals use visual cues to communicate.,D
3931,What is the name of the major components of cell membranes called?,eukaryotes,antibodies,cytoplasm,phospholipids,Phospholipids are the major components of cell membranes.,D
3932,What organ breaks down excess amino acids and toxins in the blood?,lungs,kidney,heart,liver,"Salamanders can breathe with the help of gills, lungs, or their skin surface.",D
3934,Lava flows from a volcano and hardens into what?,sand,life,snow,rock,lava flows from a volcano and hardens into rock.,D
3938,"Electromagnetic specturm is the full spectrum of raidant energy, which is energy emitted and transmitted as what?",tides,currents,flows,waves,The noble gases are characterized by their high ionization energies and low electron affinities.,D
3951,Where does much of the blood that enters the atria flow?,lungs,arteries,muscles,ventricles,,D
3954,Bond energy is an indication of the amount of energy needed for what to occur?,oxidation,physical reaction only,photosynthesis,chemical reaction,Bond energy is an indication of the amount of energy needed for a chemical reaction.,D
3957,What composition determines both eruption type and volcano type?,gas,electrical,chemical,magma,Magma composition determines both eruption type and volcano type.,D
3961,The community of all of the living and nonliving parts of an environment is known as what?,biodiversity,habitat,population,ecosystem,,D
3965,What is the cause of existence of molecular solids and liquids?,few forces,negative forces,popular forces,attractive forces,,A
3969,Chemical energy is another form of which energy?,mechanical energy,heat energy,nuclear energy,potential energy,Chemical energy and nuclear energy are other forms of potential energy.,D
3970,Many species secrete a hard external skeleton of what?,carbon dioxide,sodium bicarbonate,hydrogen carbonate,calcium carbonate,,D
3971,What is the most common pattern of dispersion?,sporadic,random,uniform,clumped,,B
3987,The soil beneath a deciduous forest is called what?,trichina,cocklebur,forest floor,pedalfer,The soil beneath a deciduous forest is a pedalfer. These soils are very fertile.,D
3995,What is the most effective color in interrupting the nighttime portion of the photoperiod?,blue light,yellow,white light,red light,,A
3997,What shape is the orbit of a planet?,spiral,cleaved,vertical,elliptical,The orbits of the planets are elliptical.,D
4000,The process in which materials move depending on their heat relative to nearby materials is known as what?,ventilation,induction,radiation,convection,"In convection, materials move depending on their heat relative to nearby materials.",D
4002,Glands release what substance into the blood?,acids,enzymes,toxins,hormones,human body system of glands that release hormones into the blood.,D
4003,What's the process responsible for the presence of oxygen in our atmosphere?,glycolysis,respiration,ozone,photosynthesis,,D
4012,"Upon reaching the postsynaptic membrane, what type of chemical messenger binds to and activates a specific receptor?",pheromone,hormone,neuropeptide,neurotransmitter,,D
4014,Molecules of gas are rare in what outermost region of the planet's atmosphere?,ionosphere,ozone layer,thermosphere,exosphere,Gas molecules are exceedingly rare in the exosphere.,D
4018,"Overproduction of offspring, combined with limited resources, results in what?",concentration,continuation,contention,competition,,D
4024,Hydras and sea anemones are examples of what form?,anemone,node,lesions,polyp,,A
4026,"What is a longitudinal, flexible rod located between the digestive tube and the nerve cord?",the underlain,the oscillatory,tubular gland,the notochord,,A
4040,What type of numbers specify the arrangement of electrons in orbitals?,stream numbers,ionic numbers,fusion numbers,quantum numbers,Quantum numbers specify the arrangements of electrons in orbitals.,D
4051,What type of ecologists work to identify and manipulate the processes that most limit recovery of ecosystems from disturbances?,quality ecologists,environmental,conservation ecologists,restoration ecologists,,D
4053,Interactions between plants and other organisms result in cycling of chemical nutrients within what?,water,habitat,air,ecosystem,,D
4058,During which process in bacteria do the chromosome replicates and the two daughter chromosomes actively move apart?,matter fission,function fission,secondary fission,binary fission,,D
4070,An axe head and a doorstop are types of what simple machine?,lever,pulley,blade,wedge,"The axe head and the doorstop are both examples of a wedge, a type of simple machine.",D
4073,"When sand is deposited along a shoreline, what is created?",bay,island,dunes,beach,Sand deposited along a shoreline creates a beach.,D
4076,What are the mass of threadlike filaments on the body of a fungus called?,cuticle,dendrites,cytoplasm,hyphae,body of a fungus that consists of a mass of threadlike filaments called hyphae.,D
4079,Cytokinins promote cell division and prevent what?,mutations,deficiency,apoptosis,senescence,Cytokinins Promote cell division; prevent senescence.,D
4085,The common earthworm and leeches are examples of what type of worm?,encapsulated,castrated,elongated,segmented,Segmented worms include the common earthworm and leeches.,D
4091,What parts of the cell does cell differentiation involve changes in?,cell membrane and nucleus,cystine and cell wall,endoderm and epidermis,cytoplasm and cell wall,,A
4098,Large increases in the diversity of life have resulted from adaptive radiations that followed what?,glaciers,mass mutations,mass migrations,mass extinctions,,D
4099,What is the source of most electricity?,air,methane,the Sun,coal,Coal is the source of most electricity.,D
4106,A largemouth bass is an example of a cold-blooded animal that conforms to what aspect of the lake it inhabits?,oxygen,depth,precipitation,temperature,,D
4113,What is defined as force per unit area?,momentum,energy,resistance,pressure,"Pressure is defined as force per unit area, .",D
4114,What word describes a change in behavior that occurs as a result of experience?,applying,taking,heredity,learning,Learning is a change in behavior that occurs as a result of experience.,D
4120,Incomplete dominance and epistasis are both terms that define what?,genetic habits,learned behaviors,genetic difficulties,genetic relationships,,A
4126,The hypothalamus and pituitary gland are located near the base of this organ?,the liver,the heart,the lungs,the brain,The hypothalamus and pituitary gland are located close together at the base of the brain.,D
4131,What is the term for organisms that can maintain a stable body temperature even in the face of large fluctuations in the environmental temperature?,homeotherm,ectotherms,pachyderm,endotherms,,D
4141,"Fractures, osteoarthritis, and rickets are problems of which body system?",cardiovascular system,digestive system,circulatory system,skeletal system,"Skeletal system problems include fractures, osteoarthritis, and rickets.",D
4142,The structure of a neuron allows it to rapidly transmit nerve impulses to other what?,proteins,muscles,limbs,cells,The structure of a neuron allows it to rapidly transmit nerve impulses to other cells.,D
4145,What part of the continuous dermal tissue system covers stems?,callus,dermis,cuticle,epidermis,,D
4151,What organ provides the integrative power that underlies the complex behavior of vertebrates?,the heart,the skin,the liver,the brain,,D
4152,What is the only mechanism that consistently causes adaptive evolution?,artificial selection,genetic drift,neutral selection,natural selection,23.4 Natural selection is the only mechanism that consistently causes adaptive evolution.,D
4153,What are four children born at one birth called?,kittens,triplets,twins,quadruplets,QUADruplets are four children born at one birth.,D
4154,What does liquid change to due to vaporization?,solid,plasma,oil,gas,Vaporization is the process in which a liquid boils and changes to a gas.,D
4156,Reptiles can be found on every continent except which one?,australia,south america,africa,antarctica,Reptiles can be found on every continent except Antarctica.,D
4161,What is the term for animal-like protists that are usually single-celled?,larvae,eukaryotes,vertebrates,protozoa,Animal-like protists are called protozoa. Most consist a single cell.,D
4164,"What group includes the simplest eukaryotes, including most single-celled eukaryotes?",fungi,arthropods,bivalves,protists,Most single-celled eukaryotes are protists. Protists are the simplest eukaryotes.,D
4165,"Tropical rainforest, chaparral, and taiga are what kind of biomes?",freshwater,endangered,arboreal,terrestrial,"Terrestrial biomes include the tropical rainforest, chaparral, and taiga.",D
4171,"Like animals, protozoa are heterotrophic and capable of what?",working,pushing,creating,moving,"Like animals, protozoa are heterotrophic and capable of moving.",D
4174,Kidney stones can form anywhere in what system?,intestinal,digestive,respiratory,urinary,A kidney stone. The stones can form anywhere in the urinary system.,D
4178,At what point is water on the ph scale?,"0, very acidic","14, basic","3, acidic","neutrality, 7","The light from a laser is monochromatic, coherent, and very intense.",D
4180,"What system includes lymph organs, lymph vessels, lymph, and lymph nodes?",digestion,nervous,immature,immune,"The immune system includes lymph organs, lymph vessels, lymph, and lymph nodes.",D
4181,What causes acid rain?,chemicals in waterways,carbon dioxide,heavy pollution,air pollution,"Air pollution causes acid rain, ozone depletion, and global warming.",D
4185,Which factor often changes a protein from an inactive form to an active form?,nitrogen groups addition,oxygen groups addition,lipid groups addition,phosphate groups addition,,D
4187,What force provides resistance whenever two surfaces are in contact?,rotation,vibration,tension,friction,,D
4191,The pine tree is the sporophyte; its sporangia are located on scalelike structures packed densely where?,in the needles,in the limb tips,in the bark,in cones,,D
4193,What can increase the occurance of earthquakes?,plates rupturing,three plates sliding,plates breaking,two plates sliding,,A
4195,What is located at the center of our solar system?,the earth,a black hole,the moon,the sun,,D
4205,What do we call the scientific study of heredity and hereditary variation?,chemistry,geneology,biology,genetics,,D
4214,Is sleep an active or inactive state in the brain?,inactive,intense,different,active,,A
4218,What regulates the passage of blood into capillary beds?,cell membrane,bicellular sphincters,diocesan sphincters,precapillary sphincters,,D
4220,What length of time is human gestation commonly divided into?,four quarters,two halves,fifty weeks,three trimesters,,D
4221,"What substance, involved in most biochemical reactions, is essential to life?",air,carbon,nitrogen,water,"Water is involved in most biochemical reactions. Therefore, water is essential to life.",D
4226,Oscillations in the transcription of certain genes are at the heart of the molecular mechanisms underlying what biological rhythms?,reproductive rhythms,metastasis rhythms,brain rhythms,circadian rhythms,,D
4228,Difference in electric potential energy are measured in what basic unit?,knots,moles,watts,volts,The difference in electric potential energy is measured with a voltmeter in units called volts.,D
4230,Landslides and mudslides are the most destructive types of what geologic phenomenon?,intensity movement,land momentum,formation movement,mass movement,The most destructive types of mass movement are landslides and mudslides. Both occur suddenly.,D
4246,"The electron beam scans the surface of the sample, usually coated with a thin film of which metal?",copper,platinum,silver,gold,,B
4252,Each line in a structural formula represents a pair of shared what?,atoms,waves,ions,electrons,,D
4254,"In vascular plants, what two basic structures are made of dermal, vascular, and ground tissues?",fruits and nuts,stems and flowers,roots and seed,roots and stems,"Like roots, the stems of vascular plants are made of dermal, vascular, and ground tissues.",D
4258,What type of structure between the esophagus and the stomach normally opens only when a bolus arrives?,gland,larynx,intestine,sphincter,,D
4260,"""crossing over"" occurs during what phase of mitosis?",prophase iii,Prophase ii,prophase VI,prophase i,,D
4264,"Three ways that waves may interact with matter are reflection, refraction, and what?",dispose,distortion,absorption,diffraction,"Three ways that waves may interact with matter are reflection, refraction, and diffraction.",D
4268,"Large or small numbers are expressed in scientific notation, which use powers of this?",16,2,4,10,"Large or small numbers are expressed in scientific notation, which use powers of 10.",D
4272,"When gas particles collide, what kinds of collisions are these considered?",conservative,inelastic,perfect,elastic,"Collisions of gas particles are elastic, so no energy is lost.",D
4275,What structures on the gastrodermal cells keep the contents of the gastrovascular cavity agitated and help distribute nutrients?,nucleus,telomeres,sporangia,flagella,,D
4278,Where do most of the digestion reactions occur?,mouth,liver,large intestine,small intestine,Most of the digestion reactions occur in the small intestine.,D
4282,What type of map would show average temperatures and rainfall?,carbon map,landscape map,rainfall map,climate map,Climate maps show average temperatures and rainfall.,D
4283,What is the name of the sugar that plants produce to be used as food?,insulin,glucosamine,chlorophyll,glucose,,D
4284,"Just under their skin, marine mammals have a very thick layer of insulating fat called what?",cellulose,tissue,lipisomes,blubber,,D
4286,White blood cells called what travel to areas of the body that are inflamed?,spirochetes,platelets,gametocytes,phagocytes,White blood cells called phagocytes travel to areas of the body that are inflamed.,D
4295,What type of invertebrate typically has a single spiraled shell?,anthropod,bipod,arthropod,gastropod,,D
4303,Mating with no strong pair-bonds is called?,heterogeneous,mutual,covalent,promiscuous,,D
