,question,distractor3,distractor1,distractor2,correct_answer,support,long,long_a
2959,Many microorganisms are single celled and use what for perception and movement?,chloroplasts,nucleus,mitochondria,organelles,"Chapter 12 1 MRI uses the relative amount of water in tissue to distinguish different areas, so gray and white matter in the nervous system can be seen clearly in these images. 3 Neurons enable thought, perception, and movement. Plants do not move, so they do not need this type of tissue. Microorganisms are too small to have a nervous system. Many are single-celled, and therefore have organelles for perception and movement. 5 Sodium is moving into the cell because of the immense concentration gradient, whereas potassium is moving out because of the depolarization that sodium causes. However, they both move down their respective gradients, toward equilibrium. 7 A second signal from a separate presynaptic neuron can arrive slightly later, as long as it arrives before the first one dies off, or dissipates. 9 C 11 D 13 B 15 B 17 A 19 C 21 C 23 A 25 B 27 D 29 B 31 D 33 A 34 Running on a treadmill involves contraction of the skeletal muscles in the legs, increase in contraction of the cardiac muscle of the heart, and the production and secretion of sweat in the skin to stay cool. 36 The disease would target oligodendrocytes. In the CNS, oligodendrocytes provide the myelin for axons. 38 Afferent means “toward,” as in sensory information traveling from the periphery into the CNS. Efferent means “away from,” as in motor commands that travel from the brain down the spinal cord and out into the periphery. 40 The cell membrane must reach threshold before voltage-gated Na+ channels open. If threshold is not reached, those channels do not open, and the depolarizing phase of the action potential does not occur, the cell membrane will just go back to its resting state. 42 EPSP1 = +5 mV, EPSP2 = +7 mV, EPSP 3 = +10 mV, IPSP1 = -4 mV, IPSP2 = -3 mV. 5 + 7 + 10 – 4 – 3 = +15 mV.",D,D
2964,What is the term for behaviors that are closely controlled by genes with little or no environmental influence?,learned behavior,observational behaviors,reflex behaviors,innate behaviors,"Behaviors that are closely controlled by genes with little or no environmental influence are called innate behaviors . These are behaviors that occur naturally in all members of a species whenever they are exposed to a certain stimulus. Innate behaviors do not have to be learned or practiced. They are also called instinctive behaviors. An instinct is the ability of an animal to perform a behavior the first time it is exposed to the proper stimulus. For example, a dog will drool the first time—and every time—it is exposed to food.",D,D
2972,The dna is wound around proteins called what?,pepsins,leptons,nucleotides,histones,"Chapter 9 1 Figure 9.10 Ligase, as this enzyme joins together Okazaki fragments. 2 A 4 B 6 A 8 C 10 D 12 The DNA is wound around proteins called histones. The histones then stack together in a compact form that creates a fiber that is 30-nm thick. The fiber is further coiled for greater compactness. During metaphase of mitosis, the chromosome is at its most compact to facilitate chromosome movement. During interphase, there are denser areas of chromatin, called heterochromatin, that contain DNA that is not expressed, and less dense euchromatin that contains DNA that is expressed. 14 Telomerase has an inbuilt RNA template.",D,D
2974,Protozoa are generally difficult to identify due to what?,their formation shape,their hidden shape,their resting shape,their varied shape,"22.10 Protozoa As heterotrophs, protozoa scavenge materials from their surroundings. Others are predators which actively hunt or ambush small organisms such as bacteria and other protozoa for a source of nutrition. Protozoa can be parasitic as well; they may live inside larger organisms, like humans. Most protozoa live as single cells, although a few form colonies. Protozoa are generally difficult to identify due to their varied shape. They may appear as jelly-like blobs, spherical sunbursts, or a flattened leaf. Tiny blood parasites may be only 2 μm long. On the other hand, shell-covered marine may be 5 cm or more in diameter. Furthermore, different protozoans have their own complex life cycles. The complexity has led certain organisms to be mistakenly classified for other species. Nevertheless, protozoa can move, and so, they are classified based on their methods of locomotion. Characteristics of Protozoa : • About 30,000 species known • About 10,000 species are pathogenic, including some of the worst human diseases • heterotrophic • highly variable in form and life cycle.",D,D
2978,"Concentration is the removal of solvent, which increases the concentration of what?",Water,vapor,sodium,solute,"Often, a worker will need to change the concentration of a solution by changing the amount of solvent. Dilution is the addition of solvent, which decreases the concentration of the solute in the solution. Concentration is the removal of solvent, which increases the concentration of the solute in the solution. (Do not confuse the two uses of the word concentration here!) In both dilution and concentration, the amount of solute stays the same. This gives us a way to calculate what the new solution volume must be for the desired concentration of solute. From the definition of molarity,.",D,D
2980,What is the term for the skeletal structure of the head that supports the face and protects the brain?,thorax,ribcage,pelvis,cranium (skull),"7.2 | The Skull By the end of this section, you will be able to: • List and identify the bones of the brain case and face • Locate the major suture lines of the skull and name the bones associated with each • Locate and define the boundaries of the anterior, middle, and posterior cranial fossae, the temporal fossa, and infratemporal fossa • Define the paranasal sinuses and identify the location of each • Name the bones that make up the walls of the orbit and identify the openings associated with the orbit • Identify the bones and structures that form the nasal septum and nasal conchae, and locate the hyoid bone • Identify the bony openings of the skull The cranium (skull) is the skeletal structure of the head that supports the face and protects the brain. It is subdivided into the facial bones and the brain case, or cranial vault (Figure 7.3). The facial bones underlie the facial structures, form the nasal cavity, enclose the eyeballs, and support the teeth of the upper and lower jaws. The rounded brain case surrounds and protects the brain and houses the middle and inner ear structures. In the adult, the skull consists of 22 individual bones, 21 of which are immobile and united into a single unit. The 22nd bone is the mandible (lower jaw), which is the only moveable bone of the skull.",D,D
2981,What is it called when organisms with traits that better enable them to adapt to their environment tend to survive and reproduce in greater numbers?,evolution,natural distribution,adaptation,natural selection,"New species develop naturally through the process of natural selection . Due to natural selection, organisms with traits that better enable them to adapt to their environment will tend to survive and reproduce in greater numbers. Natural selection causes beneficial heritable traits to become more common in a population and unfavorable heritable traits to become less common. For example, a giraffe’s neck is beneficial because it allows the giraffe to reach leaves high in trees. Natural selection caused this beneficial trait to become more common than short necks.",D,B
2985,What is the term for the affected factor in an experiment?,independent variable,multiple variable,stable variable,dependent variable,"Test the hypothesis. Make predictions based on the hypothesis and then determine if they are correct. This may involve carrying out an experiment. An experiment is a controlled scientific test that often takes place in a lab. It investigates the effects of one factor, called the independent variable , on another factor, called the dependent variable . Experimental controls are other factors that might affect the dependent variable. Controls are kept constant so they will not affect the results of the experiment.",A,A
2998,"Blood vessels blood pumped by the heart flows through a series of vessels known as arteries, arterioles, capillaries, venules, and veins before returning to this?",brain,lungs,feet,heart,"CHAPTER REVIEW 20.1 Structure and Function of Blood Vessels Blood pumped by the heart flows through a series of vessels known as arteries, arterioles, capillaries, venules, and veins before returning to the heart. Arteries transport blood away from the heart and branch into smaller vessels, forming arterioles. Arterioles distribute blood to capillary beds, the sites of exchange with the body tissues. Capillaries lead back to small vessels known as venules that flow into the larger veins and eventually back to the heart. The arterial system is a relatively high-pressure system, so arteries have thick walls that appear round in cross section. The venous system is a lower-pressure system, containing veins that have larger lumens and thinner walls. They often appear flattened. Arteries, arterioles, venules, and veins are composed of three tunics known as the tunica intima, tunica media, and tunica externa. Capillaries have only a tunica intima layer. The tunica intima is a thin layer composed of a simple squamous epithelium known as endothelium and a small amount of connective tissue. The tunica media is a thicker area composed of variable amounts of smooth muscle and connective tissue. It is the thickest layer in all but the largest arteries. The tunica externa is primarily a layer of connective tissue, although in veins, it also contains some smooth muscle. Blood flow through vessels can be dramatically influenced by vasoconstriction and vasodilation in their walls.",D,D
3009,"An unknown genotype can be determined by observing what, the term for characteristics of the resulting offspring?",chromosonal variations,abnormalities,clusters,phenotypes,"Consider the following example: Suppose you have a purple and white flower and purple color ( P ) is dominant to white ( p ). The white flower must be homozygous for the recessive allele, but the genotype of the purple flower is unknown. It could be either PP or Pp . A testcross will determine the organism's genotype. The unknown genotype can be determined by observing the phenotypes of the resulting offspring. If crossing the unknown dominant phenotype ( PP or Pp genotype) individual with the recessive phenotype individual produces only dominant phenotypes (no recessive), then the unknown individual is homozygous dominant. If any recessive phenotypic individuals result from the cross, then the unknown individual must carry the recessive allele, and have the heterozygous genotype.",D,D
3012,"What is the term for a cellular ""scaffolding"" that crisscrosses the cytoplasm?",collagen,protoskeleton,cellulose,cytoskeleton,"The cytoskeleton is a cellular ""scaffolding"" or ""skeleton"" that crisscrosses the cytoplasm. All eukaryotic cells have a cytoskeleton, and recent research has shown that prokaryotic cells also have a cytoskeleton. The eukaryotic cytoskeleton is made up of a network of long, thin protein fibers and has many functions. It helps to maintain cell shape. It holds organelles in place, and for some cells, it enables cell movement. The cytoskeleton also plays important roles in both the intracellular movement of substances and in cell division. Certain proteins act like a path that vesicles and organelles move along within the cell. The threadlike proteins that make up the cytoskeleton continually rebuild to adapt to the cell's constantly changing needs. Three main kinds of cytoskeleton fibers are microtubules, intermediate filaments, and microfilaments.",C,C
3023,The electrons in a water molecule are more concentrated around the more highly charged oxygen nucleus than around this?,peroxide nuclei,helium nuclei,carbon nuclei,hydrogen nuclei,"We will find in Atomic Physics that the orbits of electrons are more properly viewed as electron clouds with the density of the cloud related to the probability of finding an electron in that location (as opposed to the definite locations and paths of planets in their orbits around the Sun). This cloud is shifted by the Coulomb force so that the atom on average has a separation of charge. Although the atom remains neutral, it can now be the source of a Coulomb force, since a charge brought near the atom will be closer to one type of charge than the other. Some molecules, such as those of water, have an inherent separation of charge and are thus called polar molecules. Figure ⎛ ⎞ 19.19 illustrates the separation of charge in a water molecule, which has two hydrogen atoms and one oxygen atom ⎝H 2 O⎠ . The water molecule is not symmetric—the hydrogen atoms are repelled to one side, giving the molecule a boomerang shape. The electrons in a water molecule are more concentrated around the more highly charged oxygen nucleus than around the hydrogen nuclei. This makes the oxygen end of the molecule slightly negative and leaves the hydrogen ends slightly positive. The inherent separation of charge in polar molecules makes it easier to align them with external fields and charges. Polar molecules therefore exhibit greater polarization effects and have greater dielectric constants. Those who study chemistry will find that the polar nature of water has many effects. For example, water molecules gather ions much more effectively because they have an electric field and a separation of charge to attract charges of both signs. Also, as brought out in the previous chapter, polar water provides a shield or screening of the electric fields in the highly charged molecules of interest in biological systems.",C,D
3047,The smallest part of an element that maintains the identity of that element is called what?,neutron,lattice,nucleus,atom,"Note Sometimes the word pure is added to substance, but this is not absolutely necessary. By definition, any single substance is pure. The smallest part of an element that maintains the identity of that element is called an atom. Atoms are extremely tiny; to make a line 1 inch long, you would need 217 million iron atoms. The smallest part of a compound that maintains the identity of that compound is called a molecule. Molecules are composed of atoms that are attached together and behave as a unit. Scientists usually work with millions and millions of atoms and molecules at a time. When a scientist is working with large numbers of atoms or molecules at a time, the scientist is studying the macroscopic view of the universe. However, scientists can also describe chemical events on the level of individual atoms or molecules, which is referred to as the microscopic viewpoint. We will see examples of Saylor URL: http://www. saylor. org/books.",B,B
3057,The posterior half of the foot is formed by seven tarsal bones. the most superior of these bones is called?,calcareous,metatarsal,patella,talus,"Tarsal Bones The posterior half of the foot is formed by seven tarsal bones (Figure 8.19). The most superior bone is the talus. This has a relatively square-shaped, upper surface that articulates with the tibia and fibula to form the ankle joint. Three areas of articulation form the ankle joint: The superomedial surface of the talus bone articulates with the medial malleolus of the tibia, the top of the talus articulates with the distal end of the tibia, and the lateral side of the talus articulates with the lateral malleolus of the fibula. Inferiorly, the talus articulates with the calcaneus (heel bone), the largest bone of the foot, which forms the heel. Body weight is transferred from the tibia to the talus to the calcaneus, which rests on the ground. The medial calcaneus has a prominent bony extension called the sustentaculum tali (“support for the talus”) that supports the medial side of the talus bone.",D,D
3058,"What helps to regulate consciousness, arousal, and sleep states?",cerebral cortex,hypothalamus,hippocampus,thalamus,"Basal Ganglia Interconnected brain areas called the basal ganglia (or basal nuclei), shown in Figure 35.20b, play important roles in movement control and posture. Damage to the basal ganglia, as in Parkinson’s disease, leads to motor impairments like a shuffling gait when walking. The basal ganglia also regulate motivation. For example, when a wasp sting led to bilateral basal ganglia damage in a 25-year-old businessman, he began to spend all his days in bed and showed no interest in anything or anybody. But when he was externally stimulated—as when someone asked to play a card game with him—he was able to function normally. Interestingly, he and other similar patients do not report feeling bored or frustrated by their state. Thalamus The thalamus (Greek for “inner chamber”), illustrated in Figure 35.24, acts as a gateway to and from the cortex. It receives sensory and motor inputs from the body and also receives feedback from the cortex. This feedback mechanism can modulate conscious awareness of sensory and motor inputs depending on the attention and arousal state of the animal. The thalamus helps regulate consciousness, arousal, and sleep states. A rare genetic disorder called fatal familial insomnia causes the degeneration of thalamic neurons and glia. This disorder prevents affected patients from being able to sleep, among other symptoms, and is eventually fatal.",D,D
3059,"Some fish will be over-fished to the point that their species ceases to exist, which is also known as what?",abundance,endangered,accumulation,extinction,"will inevitably make it more difficult and costly to grow food. The world’s growing human population faces significant challenges in the increasing costs and other difficulties associated with producing food. Wild Food Sources In addition to growing crops and raising food animals, humans obtain food resources from wild populations, primarily wild fish populations. For about one billion people, aquatic resources provide the main source of animal protein. But since 1990, production from global fisheries has declined. Despite considerable effort, few fisheries on Earth are managed sustainability. Fishery extinctions rarely lead to complete extinction of the harvested species, but rather to a radical restructuring of the marine ecosystem in which a dominant species is so over-harvested that it becomes a minor player, ecologically. In addition to humans losing the food source, these alterations affect many other species in ways that are difficult or impossible to predict. The collapse of fisheries has dramatic and long-lasting effects on local human populations that work in the fishery. In addition, the loss of an inexpensive protein source to populations that cannot afford to replace it will increase the cost of living and limit societies in other ways. In general, the fish taken from fisheries have shifted to smaller species and the larger species are overfished. The ultimate outcome could clearly be the loss of aquatic systems as food sources.",C,C
3060,"Not surprisingly, what is the function of the most developed part of a bird's brain?",controlling thought,controlling digestion,controlling breeding,controlling flight,"Birds have a large brain relative to the size of their body. Not surprisingly, the part of the brain that controls flight is the most developed part. The large brain size of birds is also reflected by their high level of intelligence and complex behavior. In fact, birds such as crows and ravens may be more intelligent than many mammals. They are smart enough to use objects such as twigs for tools. They also demonstrate planning and cooperation. Most birds have a poor sense of smell, but they make up for it with their excellent sense of sight. Predatory birds have especially good eyesight. Hawks, for example, have vision that is eight times sharper than human vision.",A,A
3061,What type of roots enable a plant to grow on another plant?,mites,Sickness,endemic,epiphytic,"Epiphytic roots enable a plant to grow on another plant. For example, the epiphytic roots of orchids develop a spongy tissue to absorb moisture. The banyan tree (Ficus sp. ) begins as an epiphyte, germinating in the branches of a host tree; aerial roots develop from the branches and eventually reach the ground, providing additional support (Figure 30.20). In screwpine (Pandanus sp. ), a palm-like tree that grows in sandy tropical soils, aboveground prop roots develop from the nodes to provide additional support.",D,D
3065,The stems of all vascular plants get longer through primary growth. this occurs in primary meristem at the tips and ______ of the stems.,layers,edges,bottoms,nodes,"The stems of all vascular plants get longer through primary growth. This occurs in primary meristem at the tips and nodes of the stems. Most stems also grow in thickness through secondary growth. This occurs in secondary meristem, which is located in and around the vascular tissues. Secondary growth forms secondary vascular tissues and bark. In many trees, the yearly growth of new vascular tissues results in an annual growth ring like the one in Figure below . When a tree is cut down, the rings in the trunk can be counted to estimate the tree’s age.",D,D
3068,Meissner’s corpuscles are not as plentiful in the palms as they are in the what other part of the hand?,cuticles,bones,fingernails,fingertips,"Which of the following statements about mechanoreceptors is false? a. Pacini corpuscles are found in both glabrous and hairy skin. Merkel’s disks are abundant on the fingertips and lips. Ruffini endings are encapsulated mechanoreceptors. Meissner’s corpuscles extend into the lower dermis. Meissner’s corpuscles, (shown in Figure 36.6) also known as tactile corpuscles, are found in the upper dermis, but they project into the epidermis. They, too, are found primarily in the glabrous skin on the fingertips and eyelids. They respond to fine touch and pressure, but they also respond to low-frequency vibration or flutter. They are rapidly adapting, fluid-filled, encapsulated neurons with small, well-defined borders and are responsive to fine details. Like Merkel’s disks, Meissner’s corpuscles are not as plentiful in the palms as they are in the fingertips.",B,B
3074,What type of cells make up the epidermis of a leaf?,mesophyll,chloroplasts,endothermic cells,dermal cells,"The epidermis of the leaf consists of a single layer of tightly-packed dermal cells. They secrete waxy cuticle to prevent evaporation of water from the leaf. The epidermis has tiny pores called stomata (singular, stoma) that control transpiration and gas exchange with the air. For photosynthesis, stomata must control the transpiration of water vapor and the exchange of carbon dioxide and oxygen. Stomata are flanked by guard cells that swell or shrink by taking in or losing water through osmosis . When they do, they open or close the stomata (see Figure below ).",A,D
3077,"What substances are involved in most of the chemical reactions that take place in organisms, including digestion?",vitamins,proteins,hormones,enzymes,"Enzymes are involved in most of the chemical reactions that take place in organisms. About 4,000 such reactions are known to be catalyzed by enzymes, but the number may be even higher. In animals, an important function of enzymes is to help digest food. Digestive enzymes speed up reactions that break down large molecules of carbohydrates, proteins, and fats into smaller molecules the body can use. Without digestive enzymes, animals would not be able to break down food molecules quickly enough to provide the energy and nutrients they need to survive.",D,D
3079,The force that a magnet exerts on certain materials is called what?,centripetal force,stellar force,velocity force,magnetic force,"The force that a magnet exerts on certain materials, including other magnets, is called magnetic force . The force is exerted over a distance and includes forces of attraction and repulsion. North and south poles of two magnets attract each other, while two north poles or two south poles repel each other. A magnet can exert force over a distance because the magnet is surrounded by a magnetic field . In the Figure below , you can see the magnetic field surrounding a bar magnet. Tiny bits of iron, called iron filings, were placed under a sheet of glass. When the magnet was placed on the glass, it attracted the iron filings. The pattern of the iron filings shows the lines of force that make up the magnetic field of the magnet. The concentration of iron filings near the poles indicates that these areas exert the strongest force. You can also see how the magnetic field affects the compasses placed above the magnet. To see an animated magnetic field of a bar magnet, go to this URL: http://micro. magnet. fsu. edu/electromag/java/magneticlines/.",D,D
3081,What is the function of chloroplasts that are found in plant and algal cells?,glycolysis,mitosis,spermatogenesis,photosynthesis,"Actually, almost all organisms obtain their energy from photosynthetic organisms. For example, if a bird eats a caterpillar, then the bird gets the energy that the caterpillar gets from the plants it eats. So the bird indirectly gets energy that began with the glucose formed through photosynthesis. Therefore, the process of photosynthesis is central to sustaining life on Earth. In eukaryotic organisms, photosynthesis occurs in chloroplasts . Only cells with chloroplasts—plant cells and algal (protist) cells—can perform photosynthesis. Animal cells and fungal cells do not have chloroplasts and, therefore, cannot photosynthesize. That is why these organisms, as well as the non-photosynthetic protists, rely on other organisms to obtain their energy. These organisms are heterotrophs.",D,D
3082,What passes through the prostate gland immediately inferior to the bladder before passing below the pubic symphysis?,cerebellum,rectum,vagina,urethra,"Male Urethra The male urethra passes through the prostate gland immediately inferior to the bladder before passing below the pubic symphysis (see Figure 25.3b). The length of the male urethra varies between men but averages 20 cm in length. It is divided into four regions: the preprostatic urethra, the prostatic urethra, the membranous urethra, and the spongy or penile urethra. The preprostatic urethra is very short and incorporated into the bladder wall. The prostatic urethra passes through the prostate gland. During sexual intercourse, it receives sperm via the ejaculatory ducts and secretions from the seminal vesicles. Paired Cowper’s glands (bulbourethral glands) produce and secrete mucus into the urethra to buffer urethral pH during sexual stimulation. The mucus neutralizes the usually acidic environment and lubricates the urethra, decreasing the resistance to ejaculation. The membranous urethra passes through the deep muscles of the perineum, where it is invested by the overlying urethral sphincters. The spongy urethra exits at the tip (external urethral orifice) of the penis after passing through the corpus spongiosum. Mucous glands are found along much of the length of the urethra and protect the urethra from extremes of urine pH. Innervation is the same in both males and females.",D,D
3086,The conservation of momentum principle can be applied to systems as different as a comet striking earth and a gas containing huge numbers of atoms and these?,protons,particles,ions,molecules,"The conservation of momentum principle can be applied to systems as different as a comet striking Earth and a gas containing huge numbers of atoms and molecules. Conservation of momentum is violated only when the net external force is not zero. But another larger system can always be considered in which momentum is conserved by simply including the source of the external force. For example, in the collision of two cars considered above, the two-car system conserves momentum while each one-car system does not. Making Connections: Take-Home Investigation—Drop of Tennis Ball and a Basketball Hold a tennis ball side by side and in contact with a basketball. Drop the balls together. (Be careful!) What happens? Explain your observations. Now hold the tennis ball above and in contact with the basketball. What happened? Explain your observations. What do you think will happen if the basketball ball is held above and in contact with the tennis ball?.",D,D
3098,What is critical for the formation of hemoglobin?,platelets,salts,proteins,iron ions,"Minerals Minerals in food are inorganic compounds that work with other nutrients to ensure the body functions properly. Minerals cannot be made in the body; they come from the diet. The amount of minerals in the body is small—only 4 percent of the total body mass—and most of that consists of the minerals that the body requires in moderate quantities: potassium, sodium, calcium, phosphorus, magnesium, and chloride. The most common minerals in the body are calcium and phosphorous, both of which are stored in the skeleton and necessary for the hardening of bones. Most minerals are ionized, and their ionic forms are used in physiological processes throughout the body. Sodium and chloride ions are electrolytes in the blood and extracellular tissues, and iron ions are critical to the formation of hemoglobin. There are additional trace minerals that are still important to the body’s functions, but their required quantities are much lower. Like vitamins, minerals can be consumed in toxic quantities (although it is rare). A healthy diet includes most of the minerals your body requires, so supplements and processed foods can add potentially toxic levels of minerals. Table 24.5 and Table 24.6 provide a summary of minerals and their function in the body.",D,D
3104,The action of sunlight on the skin triggers the body to produce what vitamin?,tissue d,Vitamin A,metabolic d,vitamin d,"Milk and other dairy foods are not the only sources of calcium. This important nutrient is also found in green leafy vegetables, broccoli, and intact salmon and canned sardines with their soft bones. Nuts, beans, seeds, and shellfish provide calcium in smaller quantities. Except for fatty fish like salmon and tuna, or fortified milk or cereal, vitamin D is not found naturally in many foods. The action of sunlight on the skin triggers the body to produce its own vitamin D (Figure 6.22), but many people, especially those of darker complexion and those living in northern latitudes where the sun’s rays are not as strong, are deficient in vitamin D. In cases of deficiency, a doctor can prescribe a vitamin D supplement.",D,D
3107,What protective substance covers the skin of most reptiles?,pores,hairs,feathers,scales,"Reptiles are a class of tetrapod vertebrates that produce amniotic eggs. They include crocodiles, alligators, lizards, snakes, and turtles. The reptile class is one of the largest classes of vertebrates. It consists of all amniotes except birds and mammals. Reptiles have several adaptations for living on dry land that amphibians lack. For example, as shown in Figure below , the skin of most reptiles is covered with scales. The scales, which are made of very tough keratin , protect reptiles from injury and prevent them from losing water.",D,D
3109,What weather phenomenon is caused by strong warm updrafts from heated ground?,earthquakes,eruptions,currents,thunderstorms,"Thunderstorms form when the ground is really hot ( Figure below ). The air near the ground becomes very warm and humid. This is true in some locations in late afternoon or early evening in spring and summer. The warm air rises rapidly, which creates strong updrafts. When the rising air cools, its water vapor condenses. The updrafts create tall cumulonimbus clouds. Winds blow the cloud top sideways. This makes the well-known anvil shape of a cloud known as a thunderhead ( Figure below ). Water droplets and ice fly up through the cloud. When these droplets get heavy enough, they fall. This starts a downdraft. A convection cell develops within the cloud. A mature thunderstorm produces gusty winds, lightning, heavy rain, and hail.",D,D
3114,What part of the body does hepatitis b effect?,heart,kidney,joints,liver,"Hepatitis B is a disease of the liver. It is caused by a virus called hepatitis B, which can be passed through sexual activity. Hepatitis B causes vomiting. It also causes yellowing of the skin and eyes. The disease goes away on its own in some people. Other people are sick for the rest of their lives. In these people, the virus usually damages the liver. It may also lead to liver cancer. Medicines can help prevent liver damage in these people. There is also a vaccine to protect against hepatitis B.",D,D
3117,What secures teeth in the mouth?,cartilage,plug,muscles,socket,"Anatomy of a Tooth The teeth are secured in the alveolar processes (sockets) of the maxilla and the mandible. Gingivae (commonly called the gums) are soft tissues that line the alveolar processes and surround the necks of the teeth. Teeth are also held in their sockets by a connective tissue called the periodontal ligament. The two main parts of a tooth are the crown, which is the portion projecting above the gum line, and the root, which is embedded within the maxilla and mandible. Both parts contain an inner pulp cavity, containing loose connective tissue through which run nerves and blood vessels. The region of the pulp cavity that runs through the root of the tooth is called the root canal. Surrounding the pulp cavity is dentin, a bone-like tissue. In the root of each tooth, the dentin is covered by an even harder bone-like layer called cementum. In the crown of each tooth, the dentin is covered by an outer layer of enamel, the hardest substance in the body (Figure 23.11). Although enamel protects the underlying dentin and pulp cavity, it is still nonetheless susceptible to mechanical and chemical erosion, or what is known as tooth decay. The most common form, dental caries (cavities) develops when colonies of bacteria feeding on sugars in the mouth release acids that cause soft tissue inflammation and degradation of the calcium crystals of the enamel. The digestive functions of the mouth are summarized in Table 23.4.",D,D
3120,What does a hypothesis become after many experiments provide results supporting it?,a study,a model,a fact,a theory,"The scientific method is employed by scientists around the world, but it is not always conducted in the order above. Sometimes, hypothesis are formulated before observations are collected; sometimes observations are made before hypothesis are created. Regardless, it is important that scientists record their procedures carefully, allowing others to reproduce and verify the experimental data and results. After many experiments provide results supporting a hypothesis, the hypothesis becomes a theory . Theories remain theories forever, and are constantly being retested with every experiment and observation. Theories can never become fact or law .",D,A
3125,"Regardless of the mode, light is modeled as traveling in straight lines called what?",electrons,waves,arrows,rays,"25.1 The Ray Aspect of Light There are three ways in which light can travel from a source to another location. (See Figure 25.3. ) It can come directly from the source through empty space, such as from the Sun to Earth. Or light can travel through various media, such as air and glass, to the person. Light can also arrive after being reflected, such as by a mirror. In all of these cases, light is modeled as traveling in straight lines called rays. Light may change direction when it encounters objects (such as a mirror) or in passing from one material to another (such as in passing from air to glass), but it then continues in a straight line or as a ray. The word ray comes from mathematics and here means a straight line that originates at some point. It is acceptable to visualize light rays as laser rays (or even science fiction depictions of ray guns). Ray The word “ray” comes from mathematics and here means a straight line that originates at some point.",D,D
3128,"Exemplified by a lit match bursting into flame or the process that forms fossil fuels, chemical reactions vary greatly in terms of what?",power,duration,density,speed,"Chemical reactions vary widely in the speeds with which they occur. Some reactions occur very quickly. If a lighted match is brought in contact with lighter fluid or another flammable liquid, it erupts into flame instantly and burns fast. Other reactions occur very slowly. A container of milk in the refrigerator will be good to drink for weeks before it begins to turn sour. Millions of years were required for dead plants under Earth’s surface to accumulate and eventually turn into fossil fuels such as coal and oil.",C,C
3132,"What is the force of attraction between fundamental particles called quarks, called.",weak nuclear force,magnetism,gravity,strong nuclear force,"The strong nuclear force is a force of attraction between fundamental particles called quarks, which have a type of charge called color charge. The strong nuclear force is transferred between quarks by fundamental force-carrying particles called gluons. Both protons and neutrons consist of quarks. The exchange of gluons holds quarks together within a proton or neutron. Excess, or residual, strong force holds together protons and neutrons in the nucleus. The strong nuclear force is strong enough to overcome the electromagnetic force of repulsion pushing protons apart. Both forces are represented in the Figure below .",D,D
3138,What is the group of single-celled organisms lacking a nucleus that have a single piece of circular dna in the nucleoid area of the cell?,eukaryotes,chromosomes,algae,prokaryotes,"22.2 Structure of Prokaryotes Prokaryotes (domains Archaea and Bacteria) are single-celled organisms lacking a nucleus. They have a single piece of circular DNA in the nucleoid area of the cell. Most prokaryotes have a cell wall that lies outside the boundary of the plasma membrane. Some prokaryotes may have additional structures such as a capsule, flagella, and pili. Bacteria and Archaea differ in the lipid composition of their cell membranes and the characteristics of the cell wall. In archaeal membranes, phytanyl units, rather than fatty acids, are linked to glycerol. Some archaeal membranes are lipid monolayers instead of bilayers. The cell wall is located outside the cell membrane and prevents osmotic lysis. The chemical composition of cell walls varies between species. Bacterial cell walls contain peptidoglycan. Archaean cell walls do not have peptidoglycan, but they may have pseudopeptidoglycan, polysaccharides, glycoproteins, or protein-based cell walls. Bacteria can be divided into two major groups: Gram positive and Gram negative, based on the Gram stain reaction. Gram-positive organisms have a thick cell wall, together with teichoic acids. Gram-negative organisms have a thin cell wall and an outer envelope containing lipopolysaccharides and lipoproteins.",P,P
3142,"The axial skeleton forms the vertical, central axis of the body and includes all bones of the head, neck, chest, and back. it serves to protect the brain, spinal cord, heart, and what else?",intestines,ovaries,knees,lungs,"The Axial Skeleton The skeleton is subdivided into two major divisions—the axial and appendicular. The axial skeleton forms the vertical, central axis of the body and includes all bones of the head, neck, chest, and back (Figure 7.2). It serves to protect the brain, spinal cord, heart, and lungs. It also serves as the attachment site for muscles that move the head, neck, and back, and for muscles that act across the shoulder and hip joints to move their corresponding limbs. The axial skeleton of the adult consists of 80 bones, including the skull, the vertebral column, and the thoracic cage. The skull is formed by 22 bones. Also associated with the head are an additional seven bones, including the hyoid bone and the ear ossicles (three small bones found in each middle ear). The vertebral column consists of 24 bones, each called a.",D,D
3144,"When atoms gain or lose electrons, what is formed?",gas,crystals,molecules,ions,"As we saw in the previous chapter, ions are formed when atoms gain or lose electrons. If an atom loses one or more electrons, the resulting ion has a positive charge (more protons are present than electrons). If the atom gains one or more electrons, the resulting ion has a negative charge (more electrons are present than protons). Positive ions are called cations, and negative ions are called anions. Because opposite charges attract one another, cations and anions are held together by strong electromagnetic forces. An ionic compound consists of a large three-dimensional array of alternating cations and anions. For example, sodium chloride (NaCl) is composed of Na + and Cl - ions arranged into a structure like the one shown in Figure below .",D,D
